"Zeitstempel","Ich bin sportlich","Ich bin fleißig.","Von Rückschlägen lasse ich mich nicht entmutigen.","Meine Fähigkeiten und Talente sind vorgegeben und ich kann daran nicht viel ändern.","1990 lebten 58 % der Weltbevölkerung in Ländern mit niedrigem Einkommen. Wie hoch ist der Anteil heute? Geben Sie eine Zahl ein (z. B. 9, 37 oder 61)","Wie viel der weltweit verbrauchten Energie stammt aus Erdgas, Kohle und Öl?","Welcher Anteil der Weltbevölkerung lebt in Megacitys (Städte mit mindestens 10 Millionen Einwohnern)?","Wie viele Geleebohnen befinden sich in diesem sechseckigen Glas?","Wie viele Minuten verbringen Sie an einem typischen Tag in sozialen Medien (Facebook, Instagram, Snapchat, etc.)?","Wie viele Minuten investieren Sie ca. pro Tag in Ihr Studium (abgesehen von Lehrveranstaltungen)?","Lesen Sie zur Zeit ein Buch?","Wie alt sind Sie?","Sie sind ..."
"2022/09/14 8:21:58 PM OEZ","teils teils","trifft eher zu","4","trifft überhaupt nicht zu","9","ca. 42%","4","3000","34","34","Ja","22","Männlich"
"2022/09/17 6:10:24 PM OEZ","trifft eher nicht zu","trifft eher nicht zu","2","trifft eher zu","45","ca. 62%","3","400","34","2","Nein","34","Weiblich"
"2022/09/17 6:11:20 PM OEZ","teils teils","trifft eher nicht zu","3","trifft eher zu","34","ca. 82%","5","4000","23","12","Ja","12","Männlich"
"2022/10/11 3:18:26 PM OEZ","trifft völlig zu","trifft eher zu","4","trifft eher nicht zu","61","ca. 62%","3","586","180","60","Ja","23","Weiblich"
"2022/10/11 3:19:05 PM OEZ","trifft eher nicht zu","trifft völlig zu","2","trifft eher nicht zu","43","ca. 62%","2","350","120","200","Ja","23","Weiblich"
"2022/10/11 3:19:11 PM OEZ","trifft eher nicht zu","teils teils","4","trifft eher nicht zu","36","ca. 82%","4","2700","150","60","Nein","26","Männlich"
"2022/10/11 3:19:27 PM OEZ","trifft überhaupt nicht zu","trifft eher zu","4","trifft eher nicht zu","60","ca. 82%","2","999","240","180","Ja","22","Weiblich"
"2022/10/11 3:19:27 PM OEZ","trifft völlig zu","trifft eher zu","4","teils teils","61","ca. 62%","2","500","2","180","Ja","25","Männlich"
"2022/10/11 3:19:31 PM OEZ","trifft eher zu","trifft eher zu","3","teils teils","65","ca. 42%","4","2136","200","60","Ja","24","Weiblich"
"2022/10/11 3:19:37 PM OEZ","trifft eher nicht zu","trifft eher nicht zu","2","trifft eher nicht zu","40%","ca. 82%","4","3000","240","60","Ja","23","Weiblich"
