,country,latitude,longitude,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand
0,Argentina,-34.0,-64.0,9/4/2020,1795,80,65,5,39.716,1.77,1.438,0.111,14850,1520,0.329,0.034
1,Argentina,-34.0,-64.0,10/4/2020,1894,99,79,14,41.907,2.19,1.748,0.31,16379,1529,0.362,0.034
2,Argentina,-34.0,-64.0,11/4/2020,1975,81,82,3,43.699,1.792,1.814,0.066,18027,1648,0.399,0.036
3,Argentina,-34.0,-64.0,14/4/2020,2272,69,98,3,50.27,1.527,2.168,0.066,22805,3047,0.505,0.067
4,Argentina,-34.0,-64.0,15/4/2020,2432,160,105,7,53.81,3.54,2.323,0.155,24374,1569,0.539,0.035
5,Argentina,-34.0,-64.0,16/4/2020,2432,0,109,4,53.81,0.0,2.412,0.089,26457,2083,0.585,0.046
6,Argentina,-34.0,-64.0,17/4/2020,2560,128,115,6,56.642,2.832,2.544,0.133,28650,2193,0.634,0.049
7,Argentina,-34.0,-64.0,18/4/2020,2658,98,122,7,58.811,2.168,2.699,0.155,30942,2292,0.685,0.051
8,Argentina,-34.0,-64.0,19/4/2020,2828,170,132,10,62.572,3.761,2.921,0.221,32712,1770,0.724,0.039
9,Argentina,-34.0,-64.0,20/4/2020,2930,102,134,2,64.829,2.257,2.965,0.044,34568,1856,0.765,0.041
10,Argentina,-34.0,-64.0,21/4/2020,3020,90,142,8,66.82,1.991,3.142,0.177,36611,2043,0.81,0.045
11,Argentina,-34.0,-64.0,22/4/2020,3132,112,151,9,69.299,2.478,3.341,0.199,39228,2617,0.868,0.058
12,Argentina,-34.0,-64.0,23/4/2020,3276,144,159,8,72.485,3.186,3.518,0.177,41786,2558,0.925,0.057
13,Argentina,-34.0,-64.0,24/4/2020,3423,147,165,6,75.737,3.253,3.651,0.133,44654,2868,0.988,0.063
14,Argentina,-34.0,-64.0,25/4/2020,3423,0,167,2,75.737,0.0,3.695,0.044,47406,2752,1.049,0.061
15,Argentina,-34.0,-64.0,26/4/2020,3767,344,185,18,83.348,7.611,4.093,0.398,49905,2499,1.104,0.055
16,Argentina,-34.0,-64.0,27/4/2020,3767,0,186,1,83.348,0.0,4.115,0.022,51900,1995,1.148,0.044
17,Argentina,-34.0,-64.0,28/4/2020,3990,223,197,11,88.283,4.934,4.359,0.243,53600,1700,1.186,0.038
18,Argentina,-34.0,-64.0,29/4/2020,4114,124,207,10,91.026,2.744,4.58,0.221,56058,2458,1.24,0.054
19,Australia,-27.0,133.0,6/4/2020,5744,57,36,2,225.256,2.235,1.412,0.078,302663,5509,11.869,0.216
20,Australia,-27.0,133.0,7/4/2020,5844,100,42,6,229.178,3.922,1.647,0.235,310700,8037,12.184,0.315
21,Australia,-27.0,133.0,8/4/2020,5956,112,45,3,233.57,4.392,1.765,0.118,319368,8668,12.524,0.34
22,Australia,-27.0,133.0,9/4/2020,6052,96,50,5,237.334,3.765,1.961,0.196,330134,10766,12.946,0.422
23,Australia,-27.0,133.0,10/4/2020,6152,100,52,2,241.256,3.922,2.039,0.078,338346,8212,13.269,0.322
24,Australia,-27.0,133.0,11/4/2020,6238,86,54,2,244.629,3.373,2.118,0.078,347847,9501,13.641,0.373
25,Australia,-27.0,133.0,12/4/2020,6289,51,57,3,246.629,2.0,2.235,0.118,353941,6094,13.88,0.239
26,Australia,-27.0,133.0,13/4/2020,6322,33,61,4,247.923,1.294,2.392,0.157,362136,8195,14.201,0.321
27,Australia,-27.0,133.0,14/4/2020,6366,44,61,0,249.648,1.725,2.392,0.0,366493,4357,14.372,0.171
28,Australia,-27.0,133.0,15/4/2020,6416,50,61,0,251.609,1.961,2.392,0.0,371377,4884,14.564,0.192
29,Australia,-27.0,133.0,16/4/2020,6458,42,63,2,253.256,1.647,2.471,0.078,380003,8626,14.902,0.338
30,Australia,-27.0,133.0,17/4/2020,6497,39,63,0,254.786,1.529,2.471,0.0,391530,11527,15.354,0.452
