Id,Plattform,Ende,Seiteninteraktionen,„Gefällt mir“-Angaben für Seite,Beitragskommentare,Beitragsinteraktionen,Beitragsreaktionen,Geteilte Beiträge,Fotoaufrufe,Kosten pro Seiteninteraktion (EUR),Kosten pro „Gefällt mir“ für Seite (EUR),Kosten pro Beitragskommentar (EUR),Kosten pro Beitragsinteraktion (EUR),Kosten pro Beitragsreaktion (EUR),Kosten pro geteiltem Beitrag (EUR),Kosten pro Fotoaufruf (EUR),Durchschnittliche Wiedergabedauer,Videowiedergabe in %,Link-Klicks,Individuelle Link-Klicks,Ausgehende Klicks,Individuelle ausgehende Klicks,CTR (Link-Klickrate),Individuelle CTR (Link-Klickrate),Ausgehende CTR (Klickrate),Individuelle ausgehende CTR (Klickrate),Individuelle Klicks (alle),Individuelle CTR (alle),CPC (Kosten pro Link-Klick) (EUR),Kosten pro individuellem Link-Klick (EUR),Kosten pro ausgehendem Klick (EUR),Kosten pro individuellem ausgehendem Klick (EUR),Kosten pro individuellem Klick (alle) (EUR),Geschätzte Steigerung der Werbeerinnerung (Personen),Geschätzte Steigerungsrate der Werbeerinnerung,Ziel,Ergebnisse,Indikator für Ergebnisse,Ergebnisrate,Reichweite,Frequenz,Impressionen,Auslieferung,Ausgegebener Betrag (EUR),Klicks (alle),CPC (alle) (EUR),CTR (alle),Brutto-Impressionen (enthält ungültige Impressionen von nicht Non-Human Traffic),Kosten pro Ergebnis,Kosten pro 1.000 erreichten Personen (EUR),CPM (Kosten pro 1.000 Impressionen) (EUR)
0,Facebook,7/18/2018,42261,7,2,42254,151,23,NA,"0,007571993091","45,71428571",160,"0,007573247503","2,119205298","13,91304348",NA,0:00:06,"3,08",NA,NA,NA,NA,NA,0,NA,NA,809,"0,9379057689",NA,NA,NA,NA,"0,3955500618",2130,"2,469393434",Videoaufrufe,15605,video_10_sec_watched_actions,"13,08485662",86256,"1,382628455",119260,completed,320,897,"0,3567447046","0,7521381855",119988,"0,020506248","3,709886848","2,683213148"
1,Facebook,7/8/2018,1606,6,9,1600,16,NA,NA,"0,1245330012","33,33333333","22,22222222","0,125","12,5",NA,NA,0:00:00,0,1575,1552,1575,1580,"3,006298912","3,643876784","3,006298912","3,709616829",1854,"4,352930128","0,126984127","0,1288659794","0,126984127","0,1265822785","0,1078748652",0,0,Traffic,1575,actions:link_click,"3,006298912",42592,"1,230043201",52390,completed,200,2219,"0,0901306895","4,235541134",52905,"0,126984127","4,695717506","3,817522428"
2,Facebook,7/14/2018,979,34,3,945,111,13,NA,"0,7849846782","22,60294118","256,1666667","0,8132275132","6,923423423","59,11538462",NA,0:00:00,0,818,755,818,744,"0,5785743588","1,235901717","0,5785743588","1,217895202",1280,"2,095303573","0,9394865526","1,017880795","0,9394865526","1,032930108","0,600390625",0,0,Traffic,818,actions:link_click,"0,5785743588",61089,"2,314361014",141382,completed,"768,5",1464,"0,524931694","1,035492496",143610,"0,9394865526","12,58000622","5,435628298"
3,Facebook,5/31/2018,2170,61,94,2109,517,59,256,"0,06096774194","2,168852459","1,407446809","0,0627311522","0,2558994197","2,242372881","0,516796875",0:00:00,0,1183,1099,1183,1074,"3,156350053","4,366656071","3,156350053","4,267323586",2166,"8,606166561","0,1118343195","0,1203821656","0,1118343195","0,1231843575","0,06108033241",4470,"17,76064844",Interaktionen,2109,actions:post_engagement,"5,627001067",25168,"1,489192626",37480,completed,"132,3",3092,"0,04278783959","8,249733191",37956,"0,0627311522","5,256675143","3,529882604"
4,Instagram,6/7/2018,15598,NA,1,15598,156,11,NA,"0,01923323503",NA,300,"0,01923323503","1,923076923","27,27272727",NA,0:00:02,"20,47",506,474,506,478,"0,6775212897","0,8631993007","0,6775212897","0,870483683",556,"1,012529138","0,5928853755","0,6329113924","0,5928853755","0,6276150628","0,5395683453",5640,"10,27097902",Interaktionen,15598,actions:post_engagement,"20,88533019",54912,"1,360067016",74684,completed,300,583,"0,5145797599","0,7806223555",74784,"0,01923323503","5,463286713","4,016924642"
5,Instagram,5/31/2018,181,NA,1,181,169,NA,NA,"0,09779005525",NA,"17,7","0,09779005525","0,1047337278",NA,NA,0:00:00,0,11,11,11,11,"0,8301886792","0,9963768116","0,8301886792","0,9963768116",10,"0,9057971014","1,609090909","1,609090909","1,609090909","1,609090909","1,77",50,"4,528985507",Interaktionen,181,actions:post_engagement,"13,66037736",1104,"1,200181159",1325,completed,"17,7",10,"1,77","0,7547169811",1326,"0,09779005525","16,0326087","13,35849057"
6,Messenger,7/14/2018,27,NA,NA,27,NA,NA,NA,"1,11",NA,NA,"1,11",NA,NA,NA,0:00:00,0,27,27,27,27,"0,2918287938","0,3888248848","0,2918287938","0,3888248848",27,"0,3888248848","1,11","1,11","1,11","1,11","1,11",0,0,Traffic,27,actions:link_click,"0,2918287938",6944,"1,332373272",9252,completed,"29,97",27,"1,11","0,2918287938",9969,"1,11","4,315956221","3,239299611"
7,Facebook,6/10/2018,12718,12,28,12706,120,15,NA,"0,01179430728","12,5","5,357142857","0,01180544625","1,25",10,NA,0:00:05,"19,39",281,260,281,260,"0,9087675043","1,147193788","0,9087675043","1,147193788",1031,"4,549064596","0,5338078292","0,5769230769","0,5338078292","0,5769230769","0,1454898157",4450,"19,6346629",Videoaufrufe,4829,video_10_sec_watched_actions,"15,61721807",22664,"1,364322273",30921,completed,150,1290,"0,1162790698","4,171921995",31324,"0,03106233175","6,618425697","4,851072087"
8,Facebook,6/12/2018,1795,52,NA,1743,56,6,NA,"1,253002786","43,25269231",NA,"1,290384395","40,16321429","374,8566667",NA,0:00:00,0,1681,1420,1681,1410,"0,3104551927","1,357448761","0,3104551927","1,347889263",3226,"3,083894157","1,337977394","1,583901408","1,337977394","1,595134752","0,6971915685",0,0,Traffic,1681,actions:link_click,"0,3104551927",104608,"5,176114638",541463,completed,"2249,14",4257,"0,528339206","0,7862033048",544436,"1,337977394","21,50065005","4,153820298"
9,Facebook,5/25/2018,762,17,9,745,88,5,NA,"0,3937007874","17,64705882","33,33333333","0,4026845638","3,409090909",60,NA,0:00:00,0,643,615,643,608,"1,069652155","1,269402246","1,069652155","1,254953765",978,"2,018659181","0,466562986","0,487804878","0,466562986","0,4934210526","0,3067484663",0,0,Traffic,643,actions:link_click,"1,069652155",48448,"1,240773613",60113,completed,300,1149,"0,2610966057","1,911400196",60847,"0,466562986","6,192206077","4,990601035"
10,Facebook,6/10/2018,933,41,9,892,194,22,NA,"0,7923687031","18,03121951","82,14222222","0,8287892377","3,810721649","33,60363636",NA,0:00:00,0,667,617,667,613,"0,6047911793","1,379202432","0,6047911793","1,370261087",1074,"2,400751073","1,108365817","1,198184765","1,108365817","1,206003263","0,6883426443",0,0,Traffic,667,actions:link_click,"0,6047911793",44736,"2,465262876",110286,completed,"739,28",1315,"0,5621901141","1,192354424",112164,"1,108365817","16,52539342","6,703298696"
11,Facebook,6/17/2018,788,22,NA,766,86,5,NA,"0,9251395939","33,13681818",NA,"0,9517101828","8,476860465","145,802",NA,0:00:00,0,675,645,675,628,"0,3496322387","0,9061024949","0,3496322387","0,8822207238",915,"1,285401214","1,080014815","1,130248062","1,080014815","1,160843949","0,7967322404",0,0,Traffic,675,actions:link_click,"0,3496322387",71184,"2,712126321",193060,completed,"729,01",1013,"0,7196544916","0,5247073449",207797,"1,080014815","10,24120589","3,776079975"
12,Facebook,5/27/2018,18498,NA,10,18498,211,57,NA,"0,04865390853",NA,90,"0,04865390853","4,265402844","15,78947368",NA,0:00:03,"12,22",780,692,NA,NA,"0,7462972177","1,761576254",NA,NA,1865,"4,747600743","1,153846154","1,300578035",NA,NA,"0,4825737265",0,0,Veranstaltungszu-/absagen,834,actions:rsvp,"0,7979639481",39283,"2,660591095",104516,completed,900,2561,"0,3514252245","2,450342531",106261,"1,079136691","22,91067383","8,611121742"
