Channel,Alter,Land,Absprungrate,Nutzer,Seiten/Sitzung,Sitzungsdauer,Eindeutige Ereignisse,Einkaufswagen,Purchase_Completed,Conversion_Rate,Preis,Betsellwert,Gesamtwert,Umsatz
0,Display,65+,Mexico,100.0,79,1.0,00:00:00,0,0,0,0.0,0.0,0.0,0.0,0.0
1,Display,65+,Canada,96.65,188,1.17,00:00:04,22,0,0,0.0,0.0,0.0,0.0,0.0
2,Social,55-64,Italy,94.23,231,1.11,00:00:08,22,0,0,0.0,0.0,0.0,0.0,0.0
3,Display,35-44,Saudi Arabia,93.5,101,1.11,00:00:04,0,0,0,0.0,0.0,0.0,0.0,0.0
4,Display,25-34,Argentina,92.02,79,1.07,00:00:48,0,0,0,0.0,0.0,0.0,0.0,0.0
5,Social,45-54,Sweden,92.02,188,1.11,00:00:03,14,0,0,0.0,0.0,0.0,0.0,0.0
6,Display,18-24,Saudi Arabia,91.91,144,1.13,00:00:09,0,0,0,0.0,0.0,0.0,0.0,0.0
7,Social,55-64,Nigeria,91.14,79,1.19,00:00:09,0,0,0,0.0,0.0,0.0,0.0,0.0
8,Social,65+,Argentina,90.76,188,1.18,00:00:38,22,0,0,0.0,0.0,0.0,0.0,0.0
9,Social,35-44,Norway,90.28,130,1.1,00:00:03,22,0,0,0.0,0.0,0.0,0.0,0.0
10,Social,55-64,Ecuador,90.28,123,1.2,00:00:11,22,0,0,0.0,0.0,0.0,0.0,0.0
11,Social,65+,Greece,90.28,137,1.1,00:00:05,0,0,0,0.0,0.0,0.0,0.0,0.0
12,Display,25-34,Mexico,89.68,166,2.39,00:01:01,29,0,0,0.0,0.0,0.0,0.0,0.0
13,Social,55-64,Ukraine,88.33,180,1.12,00:00:25,0,0,0,0.0,0.0,0.0,0.0,0.0
14,Organic Search,35-44,Georgia,87.83,108,1.19,00:00:09,22,0,0,0.0,0.0,0.0,0.0,0.0
15,Display,55-64,Mexico,87.82,195,1.24,00:00:13,0,0,0,0.0,0.0,0.0,0.0,0.0
16,Display,25-34,Saudi Arabia,87.45,188,1.19,00:00:05,0,0,0,0.0,0.0,0.0,0.0,0.0
17,Social,65+,Germany,87.32,325,1.15,00:00:06,22,0,0,0.0,0.0,0.0,0.0,0.0
18,Display,25-34,Indonesia,86.92,159,1.46,00:00:19,0,0,0,0.0,0.0,0.0,0.0,0.0
19,Social,45-54,Venezuela,86.16,144,1.18,00:00:11,29,0,0,0.0,0.0,0.0,0.0,0.0
20,Social,55-64,Russia,86.15,519,1.19,00:00:16,7,0,0,0.0,0.0,0.0,0.0,0.0
21,Social,35-44,Slovakia,86.14,94,1.29,00:00:12,0,0,0,0.0,0.0,0.0,0.0,0.0
22,Display,55-64,United States,85.82,3426,1.65,00:00:46,483,173,0,0.0,0.0,0.0,0.0,0.0
23,Referral,35-44,Hong Kong,85.64,79,1.39,00:00:43,130,0,0,0.0,0.0,0.0,0.0,0.0
24,Social,55-64,Serbia,85.42,108,1.15,00:00:08,0,0,0,0.0,0.0,0.0,0.0,0.0
25,Display,45-54,Canada,85.23,411,1.56,00:00:28,123,7,0,0.0,0.0,0.0,0.0,0.0
26,Display,35-44,Mexico,84.64,224,1.17,00:01:10,0,0,0,0.0,0.0,0.0,0.0,0.0
27,Display,45-54,Mexico,84.42,151,1.16,00:00:48,0,0,0,0.0,0.0,0.0,0.0,0.0
28,Social,55-64,France,84.42,231,1.47,00:00:13,43,0,0,0.0,0.0,0.0,0.0,0.0
29,Organic Search,35-44,Kenya,84.04,72,2.3,00:01:02,7,0,0,0.0,0.0,0.0,0.0,0.0
30,Organic Search,45-54,Romania,84.04,79,1.15,00:00:02,22,0,0,0.0,0.0,0.0,0.0,0.0
31,Social,35-44,Latvia,84.04,72,1.84,00:00:33,0,0,0,0.0,0.0,0.0,0.0,0.0
32,Social,45-54,Georgia,84.04,79,1.15,00:00:12,0,0,0,0.0,0.0,0.0,0.0,0.0
33,Social,35-44,Czechia,83.93,216,1.29,00:00:05,0,0,0,0.0,0.0,0.0,0.0,0.0
34,Social,18-24,Austria,83.9,260,1.46,00:00:10,0,0,0,0.0,0.0,0.0,0.0,0.0
35,Display,25-34,India,83.89,123,1.16,00:00:23,0,0,0,0.0,0.0,0.0,0.0,0.0
36,Social,18-24,Slovakia,83.33,216,1.3,00:00:04,7,7,0,0.0,0.0,0.0,0.0,0.0
37,Organic Search,55-64,Turkey,83.08,123,1.55,00:00:23,22,0,0,0.0,0.0,0.0,0.0,0.0
38,Social,45-54,Russia,82.92,887,1.46,00:00:17,72,7,0,0.0,0.0,0.0,0.0,0.0
39,Social,45-54,Ukraine,82.89,332,1.62,00:00:16,58,0,0,0.0,0.0,0.0,0.0,0.0
40,Direct,25-34,Kenya,82.76,87,1.32,00:00:06,0,0,0,0.0,0.0,0.0,0.0,0.0
41,Direct,65+,Mexico,82.76,79,1.16,00:00:05,29,0,0,0.0,0.0,0.0,0.0,0.0
42,Organic Search,35-44,Lithuania,82.76,87,1.57,00:00:13,0,0,0,0.0,0.0,0.0,0.0,0.0
43,Social,18-24,Uruguay,82.76,87,1.32,00:00:10,22,0,0,0.0,0.0,0.0,0.0,0.0
44,Social,25-34,Moldova,82.76,87,2.4,00:00:14,29,0,0,0.0,0.0,0.0,0.0,0.0
45,Social,45-54,Switzerland,82.76,87,2.66,00:00:05,0,0,0,0.0,0.0,0.0,0.0,0.0
46,Social,45-54,Hungary,82.76,87,1.32,00:00:12,7,0,0,0.0,0.0,0.0,0.0,0.0
47,Social,55-64,Israel,82.53,159,1.43,00:00:14,0,0,0,0.0,0.0,0.0,0.0,0.0
48,Social,45-54,Algeria,82.45,231,1.18,00:00:21,29,0,0,0.0,0.0,0.0,0.0,0.0
49,Organic Search,55-64,Hong Kong,82.28,79,1.46,00:00:10,14,0,0,0.0,0.0,0.0,0.0,0.0
50,Social,55-64,Pakistan,82.28,79,1.28,00:00:56,7,0,0,0.0,0.0,0.0,0.0,0.0
51,Social,35-44,Greece,81.87,332,1.96,00:00:51,72,0,0,0.0,0.0,0.0,0.0,0.0
52,Display,18-24,Mexico,81.74,94,2.19,00:04:11,29,0,0,0.0,0.0,0.0,0.0,0.0
53,Organic Search,65+,Turkey,81.74,115,1.44,00:01:11,22,0,0,0.0,0.0,0.0,0.0,0.0
54,Social,18-24,China,81.74,115,3.7,00:01:00,43,0,0,0.0,0.0,0.0,0.0,0.0
55,Social,45-54,Portugal,81.74,115,1.19,00:00:09,0,0,0,0.0,0.0,0.0,0.0,0.0
56,Social,65+,Colombia,81.74,115,1.31,00:00:16,29,0,0,0.0,0.0,0.0,0.0,0.0
57,Social,18-24,Switzerland,81.54,195,2.77,00:01:37,72,0,0,0.0,0.0,0.0,0.0,0.0
58,Social,25-34,South Korea,81.51,1306,1.52,00:00:36,137,7,0,0.0,0.0,0.0,0.0,0.0
59,Social,65+,Ecuador,81.46,151,2.15,00:01:11,79,0,0,0.0,0.0,0.0,0.0,0.0
60,Social,18-24,South Korea,81.39,1803,1.87,00:00:42,137,22,0,0.0,0.0,0.0,0.0,0.0
61,Social,65+,Brazil,80.98,1060,1.38,00:00:31,166,0,0,0.0,0.0,0.0,0.0,0.0
62,Display,65+,United States,80.85,2308,1.52,00:00:27,195,7,0,0.0,0.0,0.0,0.0,0.0
63,Organic Search,25-34,Oman,80.56,94,4.47,00:01:23,43,0,0,0.0,0.0,0.0,0.0,0.0
64,Organic Search,45-54,South Africa,80.56,108,2.0,00:00:21,36,0,0,0.0,0.0,0.0,0.0,0.0
65,Social,25-34,Bolivia,80.56,72,1.31,00:00:16,29,0,0,0.0,0.0,0.0,0.0,0.0
66,Social,55-64,Hungary,80.56,72,1.31,00:00:30,7,0,0,0.0,0.0,0.0,0.0,0.0
67,Social,55-64,Poland,80.45,390,1.43,00:00:17,94,0,0,0.0,0.0,0.0,0.0,0.0
68,Social,35-44,Ukraine,80.2,678,2.49,00:01:04,173,0,0,0.0,0.0,0.0,0.0,0.0
69,Social,45-54,Spain,79.93,289,1.92,00:00:26,130,0,0,0.0,0.0,0.0,0.0,0.0
