# ----------------------------------------
# 1 Master View
# Webanalytics_Analyse
# 20100101-20181217
# ----------------------------------------

Default Channel Grouping (Standard-Channelgruppierung),Alter,Land,Absprungrate,Nutzer,Seiten/Sitzung,Durchschnittl. Sitzungsdauer,Eindeutige Ereignisse,Hinzufügungen des Produkts zum Einkaufswagen,Purchase Completed (Abschlüsse für Zielvorhaben 1),E-Commerce-Conversion-Rate,Durchschn. Preis,Durchschn. Bestellwert,Gesamtwert,Umsatz
Display,65+,Mexico,"100,00 %",79,"1,00",00:00:00,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,65+,Canada,"96,65 %",188,"1,17",00:00:04,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Italy,"94,23 %",231,"1,11",00:00:08,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,35-44,Saudi Arabia,"93,50 %",101,"1,11",00:00:04,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,25-34,Argentina,"92,02 %",79,"1,07",00:00:48,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Sweden,"92,02 %",188,"1,11",00:00:03,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,18-24,Saudi Arabia,"91,91 %",144,"1,13",00:00:09,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Nigeria,"91,14 %",79,"1,19",00:00:09,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Argentina,"90,76 %",188,"1,18",00:00:38,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Norway,"90,28 %",130,"1,10",00:00:03,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Ecuador,"90,28 %",123,"1,20",00:00:11,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Greece,"90,28 %",137,"1,10",00:00:05,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,25-34,Mexico,"89,68 %",166,"2,39",00:01:01,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Ukraine,"88,33 %",180,"1,12",00:00:25,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Georgia,"87,83 %",108,"1,19",00:00:09,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,55-64,Mexico,"87,82 %",195,"1,24",00:00:13,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,25-34,Saudi Arabia,"87,45 %",188,"1,19",00:00:05,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Germany,"87,32 %",325,"1,15",00:00:06,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,25-34,Indonesia,"86,92 %",159,"1,46",00:00:19,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Venezuela,"86,16 %",144,"1,18",00:00:11,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Russia,"86,15 %",519,"1,19",00:00:16,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Slovakia,"86,14 %",94,"1,29",00:00:12,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,55-64,United States,"85,82 %",3.426,"1,65",00:00:46,483,173,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,35-44,Hong Kong,"85,64 %",79,"1,39",00:00:43,130,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Serbia,"85,42 %",108,"1,15",00:00:08,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,45-54,Canada,"85,23 %",411,"1,56",00:00:28,123,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,35-44,Mexico,"84,64 %",224,"1,17",00:01:10,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,45-54,Mexico,"84,42 %",151,"1,16",00:00:48,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,France,"84,42 %",231,"1,47",00:00:13,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Kenya,"84,04 %",72,"2,30",00:01:02,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Romania,"84,04 %",79,"1,15",00:00:02,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Latvia,"84,04 %",72,"1,84",00:00:33,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Georgia,"84,04 %",79,"1,15",00:00:12,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Czechia,"83,93 %",216,"1,29",00:00:05,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Austria,"83,90 %",260,"1,46",00:00:10,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,25-34,India,"83,89 %",123,"1,16",00:00:23,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Slovakia,"83,33 %",216,"1,30",00:00:04,7,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Turkey,"83,08 %",123,"1,55",00:00:23,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Russia,"82,92 %",887,"1,46",00:00:17,72,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Ukraine,"82,89 %",332,"1,62",00:00:16,58,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,25-34,Kenya,"82,76 %",87,"1,32",00:00:06,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,65+,Mexico,"82,76 %",79,"1,16",00:00:05,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Lithuania,"82,76 %",87,"1,57",00:00:13,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Uruguay,"82,76 %",87,"1,32",00:00:10,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Moldova,"82,76 %",87,"2,40",00:00:14,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Switzerland,"82,76 %",87,"2,66",00:00:05,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Hungary,"82,76 %",87,"1,32",00:00:12,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Israel,"82,53 %",159,"1,43",00:00:14,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Algeria,"82,45 %",231,"1,18",00:00:21,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Hong Kong,"82,28 %",79,"1,46",00:00:10,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Pakistan,"82,28 %",79,"1,28",00:00:56,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Greece,"81,87 %",332,"1,96",00:00:51,72,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,18-24,Mexico,"81,74 %",94,"2,19",00:04:11,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,Turkey,"81,74 %",115,"1,44",00:01:11,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,China,"81,74 %",115,"3,70",00:01:00,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Portugal,"81,74 %",115,"1,19",00:00:09,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Colombia,"81,74 %",115,"1,31",00:00:16,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Switzerland,"81,54 %",195,"2,77",00:01:37,72,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,South Korea,"81,51 %",1.306,"1,52",00:00:36,137,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Ecuador,"81,46 %",151,"2,15",00:01:11,79,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,South Korea,"81,39 %",1.803,"1,87",00:00:42,137,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Brazil,"80,98 %",1.060,"1,38",00:00:31,166,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,65+,United States,"80,85 %",2.308,"1,52",00:00:27,195,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Oman,"80,56 %",94,"4,47",00:01:23,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,South Africa,"80,56 %",108,"2,00",00:00:21,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Bolivia,"80,56 %",72,"1,31",00:00:16,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Hungary,"80,56 %",72,"1,31",00:00:30,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Poland,"80,45 %",390,"1,43",00:00:17,94,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Ukraine,"80,20 %",678,"2,49",00:01:04,173,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Spain,"79,93 %",289,"1,92",00:00:26,130,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,18-24,China,"79,86 %",101,"8,37",00:02:57,115,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Switzerland,"79,86 %",144,"2,71",00:00:51,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Argentina,"79,60 %",339,"1,33",00:00:35,65,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Morocco,"79,19 %",173,"1,29",00:00:31,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Italy,"79,11 %",959,"1,90",00:00:55,296,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Argentina,"78,99 %",231,"1,30",00:00:13,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Slovenia,"78,83 %",115,"1,31",00:00:13,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Azerbaijan,"78,31 %",123,"1,39",00:02:17,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,25-34,Brazil,"78,28 %",137,"1,40",00:00:54,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Kenya,"78,22 %",101,"2,50",00:00:37,36,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Taiwan,"78,22 %",101,"1,64",00:00:12,58,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Algeria,"77,84 %",483,"1,58",00:00:18,137,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,United Arab Emirates,"77,69 %",123,"1,94",00:00:34,22,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Bolivia,"77,69 %",130,"1,22",00:00:12,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Ukraine,"77,69 %",130,"1,38",00:00:07,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Japan,"77,69 %",1.190,"1,51",00:00:28,108,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Japan,"77,52 %",1.190,"1,43",00:00:25,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Croatia,"77,38 %",238,"1,46",00:00:14,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,United Kingdom,"77,38 %",245,"2,26",00:00:36,36,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Kenya,"77,23 %",209,"1,77",00:00:45,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Russia,"77,08 %",1.428,"1,51",00:00:26,166,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,35-44,Hong Kong,"76,60 %",94,"1,38",00:00:28,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Ghana,"76,60 %",79,"2,22",00:01:57,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,25-34,Macedonia (FYROM),"76,60 %",87,"1,22",00:00:23,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Peru,"76,60 %",87,"5,76",00:01:54,94,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,65+,Indonesia,"76,60 %",87,"4,45",00:03:58,58,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Sweden,"76,60 %",94,"2,15",00:01:43,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Taiwan,"76,60 %",87,"2,38",00:00:29,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,35-44,Brazil,"76,42 %",101,"1,76",00:00:16,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Japan,"76,16 %",1.811,"1,70",00:00:32,151,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Australia,"76,16 %",123,"1,53",00:00:10,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,United Kingdom,"76,11 %",180,"1,64",00:00:44,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Slovakia,"76,08 %",209,"1,69",00:00:17,58,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Israel,"76,05 %",599,"1,46",00:00:17,137,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Argentina,"75,96 %",1.068,"1,48",00:00:39,195,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Poland,"75,84 %",440,"1,61",00:00:22,173,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,25-34,Canada,"75,84 %",404,"3,61",00:00:42,188,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Colombia,"75,74 %",952,"1,72",00:00:48,325,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,25-34,Malaysia,"75,65 %",87,"2,19",00:01:09,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Chile,"75,65 %",101,"4,33",00:02:06,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,55-64,Austria,"75,65 %",115,"1,88",00:00:15,36,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Hungary,"75,63 %",238,"1,37",00:00:08,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Portugal,"75,63 %",216,"1,91",00:00:41,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,Romania,"75,63 %",224,"1,39",00:00:19,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,55-64,Canada,"75,38 %",310,"1,75",00:00:16,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,South Korea,"75,37 %",887,"1,72",00:00:24,238,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Latvia,"75,14 %",159,"1,38",00:00:10,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,45-54,United States,"75,07 %",3.722,"2,42",00:01:10,1.371,418,36,"0,76 %","12,79 $","128,30 $","4.618,65 $","4.618,65 $"
Organic Search,65+,Germany,"75,00 %",130,"2,56",00:00:35,58,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Belarus,"75,00 %",137,"1,56",00:00:06,7,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Ukraine,"74,87 %",1.104,"1,48",00:00:22,166,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Poland,"74,73 %",2.409,"1,59",00:00:23,512,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
(Other),45-54,United States,"74,71 %",79,"2,90",00:01:19,36,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Saudi Arabia,"74,71 %",72,"2,07",00:02:36,22,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Ukraine,"74,71 %",87,"1,83",00:00:24,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,25-34,Denmark,"74,71 %",72,"1,57",00:00:25,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Referral,65+,United Kingdom,"74,71 %",87,"3,64",00:01:01,29,22,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,Tunisia,"74,71 %",87,"1,66",00:00:35,43,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,18-24,South Korea,"74,60 %",137,"1,52",00:01:05,14,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,55-64,South Korea,"74,60 %",252,"1,37",00:00:17,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Japan,"74,49 %",3.001,"1,97",00:00:40,541,36,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Croatia,"74,38 %",260,"3,28",00:00:38,151,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Vietnam,"74,33 %",1.233,"1,86",00:00:44,245,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Tunisia,"74,22 %",628,"1,40",00:00:26,238,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,35-44,Japan,"74,21 %",2.640,"2,09",00:00:43,721,130,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,18-24,Indonesia,"74,10 %",123,"1,30",00:00:28,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,45-54,Turkey,"74,10 %",166,"1,61",00:00:11,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Algeria,"73,95 %",606,"1,46",00:00:46,137,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,65+,South Korea,"73,93 %",209,"1,90",00:00:30,79,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Affiliates,25-34,New Zealand,"73,72 %",79,"3,05",00:02:17,94,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Direct,18-24,Turkey,"73,72 %",519,"2,07",00:00:33,180,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Portugal,"73,72 %",238,"2,03",00:00:41,87,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Dominican Republic,"73,72 %",130,"1,37",00:00:13,29,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Azerbaijan,"73,61 %",216,"1,74",00:00:39,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Display,18-24,Canada,"73,56 %",353,"4,27",00:00:56,202,7,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Russia,"73,51 %",2.792,"1,67",00:00:30,390,43,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Belarus,"73,47 %",231,"1,50",00:00:20,43,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,18-24,Hungary,"73,47 %",245,"1,85",00:00:40,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Ecuador,"73,47 %",245,"1,27",00:00:18,14,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,18-24,Estonia,"73,42 %",79,"1,56",00:00:27,0,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Organic Search,35-44,Bosnia & Herzegovina,"73,42 %",79,"3,84",00:01:12,50,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,25-34,Armenia,"73,42 %",79,"4,29",00:00:39,79,14,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Brazil,"73,41 %",2.193,"1,52",00:00:22,584,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
Social,45-54,Japan,"73,37 %",1.695,"1,70",00:00:40,238,0,0,"0,00 %","0,00 $","0,00 $","0,00 $","0,00 $"
