"","User ID","Gender","Age","salary","response"
"1","15624510","Male",19,19000,"0"
"2","15810944","Male",35,20000,"0"
"3","15668575","Female",26,43000,"0"
"4","15603246","Female",27,57000,"0"
"5","15804002","Male",19,76000,"0"
"6","15728773","Male",27,58000,"0"
"7","15598044","Female",27,84000,"0"
"8","15694829","Female",32,150000,"1"
"9","15600575","Male",25,33000,"0"
"10","15727311","Female",35,65000,"0"
"11","15570769","Female",26,80000,"0"
"12","15606274","Female",26,52000,"0"
"13","15746139","Male",20,86000,"0"
"14","15704987","Male",32,18000,"0"
"15","15628972","Male",18,82000,"0"
"16","15697686","Male",29,80000,"0"
"17","15733883","Male",47,25000,"1"
"18","15617482","Male",45,26000,"1"
"19","15704583","Male",46,28000,"1"
"20","15621083","Female",48,29000,"1"
"21","15649487","Male",45,22000,"1"
"22","15736760","Female",47,49000,"1"
"23","15714658","Male",48,41000,"1"
"24","15599081","Female",45,22000,"1"
"25","15705113","Male",46,23000,"1"
"26","15631159","Male",47,20000,"1"
"27","15792818","Male",49,28000,"1"
"28","15633531","Female",47,30000,"1"
"29","15744529","Male",29,43000,"0"
"30","15669656","Male",31,18000,"0"
"31","15581198","Male",31,74000,"0"
"32","15729054","Female",27,137000,"1"
"33","15573452","Female",21,16000,"0"
"34","15776733","Female",28,44000,"0"
"35","15724858","Male",27,90000,"0"
"36","15713144","Male",35,27000,"0"
"37","15690188","Female",33,28000,"0"
"38","15689425","Male",30,49000,"0"
"39","15671766","Female",26,72000,"0"
"40","15782806","Female",27,31000,"0"
"41","15764419","Female",27,17000,"0"
"42","15591915","Female",33,51000,"0"
"43","15772798","Male",35,108000,"0"
"44","15792008","Male",30,15000,"0"
"45","15715541","Female",28,84000,"0"
"46","15639277","Male",23,20000,"0"
"47","15798850","Male",25,79000,"0"
"48","15776348","Female",27,54000,"0"
"49","15727696","Male",30,135000,"1"
"50","15793813","Female",31,89000,"0"
"51","15694395","Female",24,32000,"0"
"52","15764195","Female",18,44000,"0"
"53","15744919","Female",29,83000,"0"
"54","15671655","Female",35,23000,"0"
"55","15654901","Female",27,58000,"0"
"56","15649136","Female",24,55000,"0"
"57","15775562","Female",23,48000,"0"
"58","15807481","Male",28,79000,"0"
"59","15642885","Male",22,18000,"0"
"60","15789109","Female",32,117000,"0"
"61","15814004","Male",27,20000,"0"
"62","15673619","Male",25,87000,"0"
"63","15595135","Female",23,66000,"0"
"64","15583681","Male",32,120000,"1"
"65","15605000","Female",59,83000,"0"
"66","15718071","Male",24,58000,"0"
"67","15679760","Male",24,19000,"0"
"68","15654574","Female",23,82000,"0"
"69","15577178","Female",22,63000,"0"
"70","15595324","Female",31,68000,"0"
"71","15756932","Male",25,80000,"0"
"72","15726358","Female",24,27000,"0"
"73","15595228","Female",20,23000,"0"
