"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2012",0.326,
"AUS","INCOMEINEQ","GINI","INEQ","A","2014",0.337,
"AUT","INCOMEINEQ","GINI","INEQ","A","2007",0.284,
"AUT","INCOMEINEQ","GINI","INEQ","A","2008",0.281,
"AUT","INCOMEINEQ","GINI","INEQ","A","2009",0.289,
"AUT","INCOMEINEQ","GINI","INEQ","A","2010",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2011",0.281,
"AUT","INCOMEINEQ","GINI","INEQ","A","2012",0.275,
"AUT","INCOMEINEQ","GINI","INEQ","A","2013",0.279,
"AUT","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"AUT","INCOMEINEQ","GINI","INEQ","A","2015",0.276,
"BEL","INCOMEINEQ","GINI","INEQ","A","2005",0.277,
"BEL","INCOMEINEQ","GINI","INEQ","A","2006",0.268,
"BEL","INCOMEINEQ","GINI","INEQ","A","2007",0.277,
"BEL","INCOMEINEQ","GINI","INEQ","A","2008",0.266,
"BEL","INCOMEINEQ","GINI","INEQ","A","2009",0.272,
"BEL","INCOMEINEQ","GINI","INEQ","A","2010",0.267,
"BEL","INCOMEINEQ","GINI","INEQ","A","2011",0.27,
"BEL","INCOMEINEQ","GINI","INEQ","A","2012",0.265,
"BEL","INCOMEINEQ","GINI","INEQ","A","2013",0.265,
"BEL","INCOMEINEQ","GINI","INEQ","A","2014",0.266,
"BEL","INCOMEINEQ","GINI","INEQ","A","2015",0.268,
"CAN","INCOMEINEQ","GINI","INEQ","A","2005",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2006",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2007",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2008",0.315,
"CAN","INCOMEINEQ","GINI","INEQ","A","2009",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2010",0.316,
"CAN","INCOMEINEQ","GINI","INEQ","A","2011",0.313,
"CAN","INCOMEINEQ","GINI","INEQ","A","2012",0.317,
"CAN","INCOMEINEQ","GINI","INEQ","A","2013",0.32,
"CAN","INCOMEINEQ","GINI","INEQ","A","2014",0.313,
"CAN","INCOMEINEQ","GINI","INEQ","A","2015",0.318,
"CZE","INCOMEINEQ","GINI","INEQ","A","2005",0.261,
"CZE","INCOMEINEQ","GINI","INEQ","A","2006",0.26,
"CZE","INCOMEINEQ","GINI","INEQ","A","2007",0.256,
"CZE","INCOMEINEQ","GINI","INEQ","A","2008",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2009",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2010",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2011",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2012",0.253,
"CZE","INCOMEINEQ","GINI","INEQ","A","2013",0.259,
"CZE","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"CZE","INCOMEINEQ","GINI","INEQ","A","2015",0.258,
"DNK","INCOMEINEQ","GINI","INEQ","A","2011",0.251,
"DNK","INCOMEINEQ","GINI","INEQ","A","2012",0.249,
"DNK","INCOMEINEQ","GINI","INEQ","A","2013",0.254,
"DNK","INCOMEINEQ","GINI","INEQ","A","2014",0.256,
"FIN","INCOMEINEQ","GINI","INEQ","A","2005",0.265,
"FIN","INCOMEINEQ","GINI","INEQ","A","2006",0.268,
"FIN","INCOMEINEQ","GINI","INEQ","A","2007",0.269,
"FIN","INCOMEINEQ","GINI","INEQ","A","2008",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2009",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2010",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2011",0.264,
"FIN","INCOMEINEQ","GINI","INEQ","A","2012",0.26,
"FIN","INCOMEINEQ","GINI","INEQ","A","2013",0.262,
"FIN","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"FIN","INCOMEINEQ","GINI","INEQ","A","2015",0.26,
"FRA","INCOMEINEQ","GINI","INEQ","A","2012",0.305,
"FRA","INCOMEINEQ","GINI","INEQ","A","2013",0.291,
"FRA","INCOMEINEQ","GINI","INEQ","A","2014",0.293,
"FRA","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"DEU","INCOMEINEQ","GINI","INEQ","A","2008",0.285,
"DEU","INCOMEINEQ","GINI","INEQ","A","2011",0.291,
"DEU","INCOMEINEQ","GINI","INEQ","A","2012",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2013",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2014",0.289,
"GRC","INCOMEINEQ","GINI","INEQ","A","2005",0.345,
"GRC","INCOMEINEQ","GINI","INEQ","A","2006",0.337,
"GRC","INCOMEINEQ","GINI","INEQ","A","2007",0.329,
"GRC","INCOMEINEQ","GINI","INEQ","A","2008",0.328,
"GRC","INCOMEINEQ","GINI","INEQ","A","2009",0.33,
"GRC","INCOMEINEQ","GINI","INEQ","A","2010",0.336,
"GRC","INCOMEINEQ","GINI","INEQ","A","2011",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2012",0.338,
"GRC","INCOMEINEQ","GINI","INEQ","A","2013",0.342,
"GRC","INCOMEINEQ","GINI","INEQ","A","2014",0.339,
"GRC","INCOMEINEQ","GINI","INEQ","A","2015",0.34,
"HUN","INCOMEINEQ","GINI","INEQ","A","2007",0.272,
"HUN","INCOMEINEQ","GINI","INEQ","A","2009",0.272,
"HUN","INCOMEINEQ","GINI","INEQ","A","2012",0.289,
"HUN","INCOMEINEQ","GINI","INEQ","A","2014",0.288,
"ISL","INCOMEINEQ","GINI","INEQ","A","2005",0.273,
"ISL","INCOMEINEQ","GINI","INEQ","A","2006",0.289,
"ISL","INCOMEINEQ","GINI","INEQ","A","2007",0.286,
"ISL","INCOMEINEQ","GINI","INEQ","A","2008",0.305,
"ISL","INCOMEINEQ","GINI","INEQ","A","2009",0.266,
"ISL","INCOMEINEQ","GINI","INEQ","A","2010",0.249,
"ISL","INCOMEINEQ","GINI","INEQ","A","2011",0.252,
"ISL","INCOMEINEQ","GINI","INEQ","A","2012",0.253,
"ISL","INCOMEINEQ","GINI","INEQ","A","2013",0.241,
"ISL","INCOMEINEQ","GINI","INEQ","A","2014",0.246,
"IRL","INCOMEINEQ","GINI","INEQ","A","2005",0.324,
"IRL","INCOMEINEQ","GINI","INEQ","A","2006",0.316,
"IRL","INCOMEINEQ","GINI","INEQ","A","2007",0.304,
"IRL","INCOMEINEQ","GINI","INEQ","A","2008",0.295,
"IRL","INCOMEINEQ","GINI","INEQ","A","2009",0.312,
"IRL","INCOMEINEQ","GINI","INEQ","A","2010",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2011",0.307,
"IRL","INCOMEINEQ","GINI","INEQ","A","2012",0.31,
"IRL","INCOMEINEQ","GINI","INEQ","A","2013",0.308,
"IRL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"ITA","INCOMEINEQ","GINI","INEQ","A","2005",0.324,
"ITA","INCOMEINEQ","GINI","INEQ","A","2006",0.324,
"ITA","INCOMEINEQ","GINI","INEQ","A","2007",0.313,
"ITA","INCOMEINEQ","GINI","INEQ","A","2008",0.317,
"ITA","INCOMEINEQ","GINI","INEQ","A","2009",0.315,
"ITA","INCOMEINEQ","GINI","INEQ","A","2010",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2011",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2012",0.33,
"ITA","INCOMEINEQ","GINI","INEQ","A","2013",0.325,
"ITA","INCOMEINEQ","GINI","INEQ","A","2014",0.326,
"JPN","INCOMEINEQ","GINI","INEQ","A","2009",0.336,
"JPN","INCOMEINEQ","GINI","INEQ","A","2012",0.33,
"KOR","INCOMEINEQ","GINI","INEQ","A","2012",0.307,
"KOR","INCOMEINEQ","GINI","INEQ","A","2013",0.302,
"KOR","INCOMEINEQ","GINI","INEQ","A","2014",0.302,
"KOR","INCOMEINEQ","GINI","INEQ","A","2015",0.295,
"LUX","INCOMEINEQ","GINI","INEQ","A","2005",0.282,
"LUX","INCOMEINEQ","GINI","INEQ","A","2006",0.276,
"LUX","INCOMEINEQ","GINI","INEQ","A","2007",0.277,
"LUX","INCOMEINEQ","GINI","INEQ","A","2008",0.291,
"LUX","INCOMEINEQ","GINI","INEQ","A","2009",0.278,
"LUX","INCOMEINEQ","GINI","INEQ","A","2010",0.271,
"LUX","INCOMEINEQ","GINI","INEQ","A","2011",0.277,
"LUX","INCOMEINEQ","GINI","INEQ","A","2012",0.299,
"LUX","INCOMEINEQ","GINI","INEQ","A","2013",0.28,
"LUX","INCOMEINEQ","GINI","INEQ","A","2014",0.284,
"MEX","INCOMEINEQ","GINI","INEQ","A","2012",0.457,
"MEX","INCOMEINEQ","GINI","INEQ","A","2014",0.459,
"NLD","INCOMEINEQ","GINI","INEQ","A","2013",0.289,"P"
"NLD","INCOMEINEQ","GINI","INEQ","A","2014",0.305,"P"
"NLD","INCOMEINEQ","GINI","INEQ","A","2015",0.303,"P"
"NZL","INCOMEINEQ","GINI","INEQ","A","2011",0.323,
"NZL","INCOMEINEQ","GINI","INEQ","A","2012",0.333,
"NZL","INCOMEINEQ","GINI","INEQ","A","2014",0.349,
"NOR","INCOMEINEQ","GINI","INEQ","A","2008",0.25,
"NOR","INCOMEINEQ","GINI","INEQ","A","2009",0.245,
"NOR","INCOMEINEQ","GINI","INEQ","A","2010",0.249,
"NOR","INCOMEINEQ","GINI","INEQ","A","2011",0.25,
"NOR","INCOMEINEQ","GINI","INEQ","A","2012",0.253,
"NOR","INCOMEINEQ","GINI","INEQ","A","2013",0.252,
"NOR","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"NOR","INCOMEINEQ","GINI","INEQ","A","2015",0.272,
"POL","INCOMEINEQ","GINI","INEQ","A","2005",0.327,
"POL","INCOMEINEQ","GINI","INEQ","A","2006",0.315,
"POL","INCOMEINEQ","GINI","INEQ","A","2007",0.316,
"POL","INCOMEINEQ","GINI","INEQ","A","2008",0.308,
"POL","INCOMEINEQ","GINI","INEQ","A","2009",0.303,
"POL","INCOMEINEQ","GINI","INEQ","A","2010",0.305,
"POL","INCOMEINEQ","GINI","INEQ","A","2011",0.301,
"POL","INCOMEINEQ","GINI","INEQ","A","2012",0.297,
"POL","INCOMEINEQ","GINI","INEQ","A","2013",0.299,
"POL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"POL","INCOMEINEQ","GINI","INEQ","A","2015",0.292,
"PRT","INCOMEINEQ","GINI","INEQ","A","2005",0.379,
"PRT","INCOMEINEQ","GINI","INEQ","A","2006",0.369,
"PRT","INCOMEINEQ","GINI","INEQ","A","2007",0.361,
"PRT","INCOMEINEQ","GINI","INEQ","A","2008",0.355,
"PRT","INCOMEINEQ","GINI","INEQ","A","2009",0.337,
"PRT","INCOMEINEQ","GINI","INEQ","A","2010",0.341,
"PRT","INCOMEINEQ","GINI","INEQ","A","2011",0.337,
"PRT","INCOMEINEQ","GINI","INEQ","A","2012",0.337,
"PRT","INCOMEINEQ","GINI","INEQ","A","2013",0.341,
"PRT","INCOMEINEQ","GINI","INEQ","A","2014",0.338,
"PRT","INCOMEINEQ","GINI","INEQ","A","2015",0.336,
"SVK","INCOMEINEQ","GINI","INEQ","A","2005",0.289,
"SVK","INCOMEINEQ","GINI","INEQ","A","2007",0.245,
"SVK","INCOMEINEQ","GINI","INEQ","A","2008",0.256,
"SVK","INCOMEINEQ","GINI","INEQ","A","2009",0.264,
"SVK","INCOMEINEQ","GINI","INEQ","A","2010",0.263,
"SVK","INCOMEINEQ","GINI","INEQ","A","2011",0.261,
"SVK","INCOMEINEQ","GINI","INEQ","A","2012",0.25,
"SVK","INCOMEINEQ","GINI","INEQ","A","2013",0.269,
"SVK","INCOMEINEQ","GINI","INEQ","A","2014",0.247,
"SVK","INCOMEINEQ","GINI","INEQ","A","2015",0.251,
"ESP","INCOMEINEQ","GINI","INEQ","A","2007",0.324,
"ESP","INCOMEINEQ","GINI","INEQ","A","2008",0.327,
"ESP","INCOMEINEQ","GINI","INEQ","A","2009",0.333,
"ESP","INCOMEINEQ","GINI","INEQ","A","2010",0.339,
"ESP","INCOMEINEQ","GINI","INEQ","A","2011",0.341,
"ESP","INCOMEINEQ","GINI","INEQ","A","2012",0.334,
"ESP","INCOMEINEQ","GINI","INEQ","A","2013",0.345,
"ESP","INCOMEINEQ","GINI","INEQ","A","2014",0.344,
"ESP","INCOMEINEQ","GINI","INEQ","A","2015",0.345,
"SWE","INCOMEINEQ","GINI","INEQ","A","2013",0.268,
"SWE","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"SWE","INCOMEINEQ","GINI","INEQ","A","2015",0.278,
"CHE","INCOMEINEQ","GINI","INEQ","A","2013",0.295,
"CHE","INCOMEINEQ","GINI","INEQ","A","2014",0.297,
"TUR","INCOMEINEQ","GINI","INEQ","A","2011",0.403,
"TUR","INCOMEINEQ","GINI","INEQ","A","2012",0.399,
"TUR","INCOMEINEQ","GINI","INEQ","A","2013",0.39,
"TUR","INCOMEINEQ","GINI","INEQ","A","2014",0.398,
"TUR","INCOMEINEQ","GINI","INEQ","A","2015",0.404,
"GBR","INCOMEINEQ","GINI","INEQ","A","2005",0.359,
"GBR","INCOMEINEQ","GINI","INEQ","A","2006",0.364,
"GBR","INCOMEINEQ","GINI","INEQ","A","2007",0.373,
"GBR","INCOMEINEQ","GINI","INEQ","A","2008",0.369,
"GBR","INCOMEINEQ","GINI","INEQ","A","2009",0.374,
"GBR","INCOMEINEQ","GINI","INEQ","A","2010",0.351,
"GBR","INCOMEINEQ","GINI","INEQ","A","2011",0.354,
"GBR","INCOMEINEQ","GINI","INEQ","A","2012",0.351,
"GBR","INCOMEINEQ","GINI","INEQ","A","2013",0.358,
"GBR","INCOMEINEQ","GINI","INEQ","A","2014",0.356,
"GBR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"USA","INCOMEINEQ","GINI","INEQ","A","2013",0.396,
"USA","INCOMEINEQ","GINI","INEQ","A","2014",0.394,
"USA","INCOMEINEQ","GINI","INEQ","A","2015",0.39,
"CHL","INCOMEINEQ","GINI","INEQ","A","2009",0.48,
"CHL","INCOMEINEQ","GINI","INEQ","A","2011",0.471,
"CHL","INCOMEINEQ","GINI","INEQ","A","2013",0.465,
"CHL","INCOMEINEQ","GINI","INEQ","A","2015",0.454,
"EST","INCOMEINEQ","GINI","INEQ","A","2013",0.357,
"EST","INCOMEINEQ","GINI","INEQ","A","2014",0.346,
"EST","INCOMEINEQ","GINI","INEQ","A","2015",0.33,
"ISR","INCOMEINEQ","GINI","INEQ","A","2011",0.371,
"ISR","INCOMEINEQ","GINI","INEQ","A","2012",0.371,
"ISR","INCOMEINEQ","GINI","INEQ","A","2013",0.36,
"ISR","INCOMEINEQ","GINI","INEQ","A","2014",0.365,
"ISR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"SVN","INCOMEINEQ","GINI","INEQ","A","2005",0.24,
"SVN","INCOMEINEQ","GINI","INEQ","A","2006",0.237,
"SVN","INCOMEINEQ","GINI","INEQ","A","2007",0.239,
"SVN","INCOMEINEQ","GINI","INEQ","A","2008",0.234,
"SVN","INCOMEINEQ","GINI","INEQ","A","2009",0.245,
"SVN","INCOMEINEQ","GINI","INEQ","A","2010",0.244,
