"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","BOY","MEANSCORE","A","2003",527,
"AUS","PISAMATH","BOY","MEANSCORE","A","2006",527,
"AUS","PISAMATH","BOY","MEANSCORE","A","2009",519,
"AUS","PISAMATH","BOY","MEANSCORE","A","2012",510.115,
"AUS","PISAMATH","BOY","MEANSCORE","A","2015",497,
"AUT","PISAMATH","BOY","MEANSCORE","A","2003",509,
"AUT","PISAMATH","BOY","MEANSCORE","A","2006",517,
"AUT","PISAMATH","BOY","MEANSCORE","A","2012",516.682,
"AUT","PISAMATH","BOY","MEANSCORE","A","2015",510,
"BEL","PISAMATH","BOY","MEANSCORE","A","2003",533,
"BEL","PISAMATH","BOY","MEANSCORE","A","2006",524,
"BEL","PISAMATH","BOY","MEANSCORE","A","2009",526,
"BEL","PISAMATH","BOY","MEANSCORE","A","2012",520.081,
"BEL","PISAMATH","BOY","MEANSCORE","A","2015",514,
"CAN","PISAMATH","BOY","MEANSCORE","A","2003",541,
"CAN","PISAMATH","BOY","MEANSCORE","A","2006",534,
"CAN","PISAMATH","BOY","MEANSCORE","A","2009",533,
"CAN","PISAMATH","BOY","MEANSCORE","A","2012",523.154,
"CAN","PISAMATH","BOY","MEANSCORE","A","2015",520,
"CZE","PISAMATH","BOY","MEANSCORE","A","2003",524,
"CZE","PISAMATH","BOY","MEANSCORE","A","2006",514,
"CZE","PISAMATH","BOY","MEANSCORE","A","2009",495,
"CZE","PISAMATH","BOY","MEANSCORE","A","2012",504.71,
"CZE","PISAMATH","BOY","MEANSCORE","A","2015",496,
"DNK","PISAMATH","BOY","MEANSCORE","A","2003",523,
"DNK","PISAMATH","BOY","MEANSCORE","A","2006",518,
"DNK","PISAMATH","BOY","MEANSCORE","A","2009",511,
"DNK","PISAMATH","BOY","MEANSCORE","A","2012",506.953,
"DNK","PISAMATH","BOY","MEANSCORE","A","2015",516,
"FIN","PISAMATH","BOY","MEANSCORE","A","2003",548,
"FIN","PISAMATH","BOY","MEANSCORE","A","2006",554,
"FIN","PISAMATH","BOY","MEANSCORE","A","2009",542,
"FIN","PISAMATH","BOY","MEANSCORE","A","2012",517.391,
