"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAMATH","GIRL","MEANSCORE","A","2003",522,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2006",513,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2009",509,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2012",497.821,
"AUS","PISAMATH","GIRL","MEANSCORE","A","2015",491,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2003",502,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2006",494,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2012",494.462,
"AUT","PISAMATH","GIRL","MEANSCORE","A","2015",483,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2003",525,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2006",517,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2009",504,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2012",508.935,
"BEL","PISAMATH","GIRL","MEANSCORE","A","2015",500,
"CAN","PISAMATH","GIRL","MEANSCORE","A","2003",530,
"CAN","PISAMATH","GIRL","MEANSCORE","A","2006",520,
"CAN","PISAMATH","GIRL","MEANSCORE","A","2009",521,
"CAN","PISAMATH","GIRL","MEANSCORE","A","2012",513.022,
"CAN","PISAMATH","GIRL","MEANSCORE","A","2015",511,
"CZE","PISAMATH","GIRL","MEANSCORE","A","2003",509,
"CZE","PISAMATH","GIRL","MEANSCORE","A","2006",504,
"CZE","PISAMATH","GIRL","MEANSCORE","A","2009",490,
"CZE","PISAMATH","GIRL","MEANSCORE","A","2012",492.903,
"CZE","PISAMATH","GIRL","MEANSCORE","A","2015",489,
"DNK","PISAMATH","GIRL","MEANSCORE","A","2003",506,
"DNK","PISAMATH","GIRL","MEANSCORE","A","2006",508,
"DNK","PISAMATH","GIRL","MEANSCORE","A","2009",495,
"DNK","PISAMATH","GIRL","MEANSCORE","A","2012",493.029,
"DNK","PISAMATH","GIRL","MEANSCORE","A","2015",506,
"FIN","PISAMATH","GIRL","MEANSCORE","A","2003",541,
"FIN","PISAMATH","GIRL","MEANSCORE","A","2006",543,
"FIN","PISAMATH","GIRL","MEANSCORE","A","2009",539,
