"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol"
"1",78,0.58,0.02,2,0.073,9,18,0.9968,336,0.57,95
"2",75,0.5,0.36,61,0.071,17,102,0.9978,335,0.8,105
"3",78,0.61,0.29,16,0.114,9,29,0.9974,326,1.56,91
"4",85,0.28,0.56,18,0.092,35,103,0.9969,33,0.75,105
"5",63,0.39,0.16,14,0.08,11,23,0.9955,334,0.56,93
"6",76,0.41,0.24,18,0.08,4,11,0.9962,328,0.59,95
"7",78,0.645,0,55,0.086,5,18,0.9986,34,0.55,96
"8",57,1.13,0.09,15,0.172,7,19,0.994,35,0.48,98
"9",81,0.66,0.22,22,0.069,9,23,0.9968,33,1.2,103
"10",56,0.31,0.37,14,0.074,12,96,0.9954,332,0.58,92
